Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més,Any
170335,Caldes de Malavella,659,2589,580,641,2482,690,1300,5071,1270,
80333,Caldes de Montbui,1454,5915,1376,1317,5676,1816,2771,11591,3192,
80351,Calella,1403,6337,1599,1315,6137,2278,2718,12474,3877,
80370,Calldetenes,193,853,213,201,799,230,394,1652,443,
80386,Callús,203,712,146,193,665,221,396,1377,367,
80364,Calonge de Segarra,9,63,20,10,51,35,19,114,55,
170340,Calonge i Sant Antoni,870,3665,1036,741,3631,1149,1611,7296,2185,
250621,Camarasa,47,253,110,42,226,139,89,479,249,
439039,Camarles,259,1047,332,198,967,421,457,2014,753,
430385,Cambrils,3068,11032,2453,2857,11427,3061,5925,22459,5514,
170353,Camós,62,206,73,46,203,103,108,409,176,
170366,Campdevànol,206,987,373,209,961,487,415,1948,860,
170372,Campelles,8,43,20,6,47,15,14,90,35,
80399,Campins,35,206,36,36,175,41,71,381,77,
170388,Campllong,61,184,27,59,179,37,120,363,64,
170391,Camprodon,142,691,284,144,682,338,286,1373,622,
250637,Canejan,3,37,17,6,34,10,9,71,27,
170405,Canet d'Adri,66,238,67,54,219,79,120,457,146,
80403,Canet de Mar,1145,4627,1296,1041,4661,1756,2186,9288,3052,
439076,"Canonja, la",519,1970,403,537,1966,498,1056,3936,901,
80410,Canovelles,1560,5874,1179,1455,5178,1383,3015,11052,2562,
80425,Cànoves i Samalús,270,1053,258,252,1008,276,522,2061,534,
170412,Cantallops,20,95,38,24,95,41,44,190,79,
80431,Canyelles,408,1652,354,369,1528,336,777,3180,690,
430398,Capafonts,4,41,17,7,37,15,11,78,32,
430402,Capçanes,16,127,59,24,115,57,40,242,116,
80446,Capellades,398,1724,514,382,1648,627,780,3372,1141,
170427,Capmany,42,199,66,48,187,71,90,386,137,
80459,Capolat,12,25,7,9,31,10,21,56,17,
80462,Cardedeu,1714,5993,1250,1657,6101,1642,3371,12094,2892,
80478,Cardona,287,1443,543,303,1333,727,590,2776,1270,
80484,Carme,60,255,81,50,229,90,110,484,171,
430419,Caseres,6,76,47,13,72,45,19,148,92,
170448,Cassà de la Selva,921,3658,722,862,3256,961,1783,6914,1683,
80497,Casserres,119,503,191,105,463,227,224,966,418,
80575,Castell de l'Areny,4,25,9,2,27,1,6,52,10,
259046,Castell de Mur,10,59,35,6,46,27,16,105,62,
250642,Castellar de la Ribera,17,35,15,10,39,18,27,74,33,
80522,Castellar de n'Hug,4,66,15,8,45,21,12,111,36,
80500,Castellar del Riu,14,59,21,13,43,19,27,102,40,
80517,Castellar del Vallès,2123,8092,1733,1921,8126,2192,4044,16218,3925,
80538,Castellbell i el Vilar,260,1277,326,283,1126,375,543,2403,701,
80543,Castellbisbal,1147,4325,766,1119,4143,890,2266,8468,1656,
