Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més,Any
252332,Torre-serona,18,153,37,25,114,50,43,267,87,
171984,Torroella de Fluvià,48,252,54,56,226,58,104,478,112,
171997,Torroella de Montgrí,961,3947,992,880,3741,1124,1841,7688,2116,
431541,Torroja del Priorat,9,48,24,3,40,25,12,88,49,
172001,Tortellà,59,253,81,65,257,94,124,510,175,
431554,Tortosa,2592,10950,2954,2526,10439,3911,5118,21389,6865,
172018,Toses,9,70,23,11,45,13,20,115,36,
172023,Tossa de Mar,366,1992,503,367,1848,607,733,3840,1110,
252347,Tremp,406,1924,554,397,1790,773,803,3714,1327,
172044,Ullà,110,442,80,108,329,84,218,771,164,
82900,Ullastrell,224,700,128,205,678,158,429,1378,286,
172057,Ullastret,18,90,32,29,91,30,47,181,62,
431567,Ulldecona,486,2210,590,445,1881,688,931,4091,1278,
431573,Ulldemolins,16,143,70,13,88,66,29,231,136,
172039,Ultramort,25,65,28,16,58,31,41,123,59,
172060,Urús,8,70,15,7,66,23,15,136,38,
82917,Vacarisses,696,2335,405,593,2219,440,1289,4554,845,
170144,"Vajol, la",6,32,10,3,27,11,9,59,21,
172076,"Vall d'en Bas, la",264,997,292,230,952,337,494,1949,629,
172082,"Vall de Bianya, la",99,433,107,98,404,123,197,837,230,
250432,"Vall de Boí, la",70,378,98,63,334,78,133,712,176,
259010,Vall de Cardós,19,136,40,28,100,41,47,236,81,
82922,Vallbona d'Anoia,120,469,130,84,425,145,204,894,275,
252385,Vallbona de les Monges,6,79,35,13,52,48,19,131,83,
82938,Vallcebre,4,97,41,9,64,35,13,161,76,
431589,Vallclara,8,37,12,5,26,10,13,63,22,
252402,Vallfogona de Balaguer,161,607,169,164,595,180,325,1202,349,
171707,Vallfogona de Ripollès,11,66,32,9,53,35,20,119,67,
431592,Vallfogona de Riucorb,1,35,19,0,18,18,1,53,37,
82943,Vallgorguina,299,985,167,296,961,183,595,1946,350,
82956,Vallirana,1295,5039,1189,1266,4852,1365,2561,9891,2554,
172095,Vall-llobrega,83,313,50,88,311,54,171,624,104,
431606,Vallmoll,138,608,144,139,572,155,277,1180,299,
82969,Vallromanes,269,906,153,225,867,159,494,1773,312,
431613,Valls,1991,8261,1958,1883,7752,2514,3874,16013,4472,
259062,"Valls d'Aguilar, les",10,88,47,8,76,31,18,164,78,
252398,"Valls de Valira, les",52,281,79,43,257,79,95,538,158,
431628,Vandellòs i l'Hospitalet de l'Infant,572,2177,497,526,2116,594,1098,4293,1091,
259097,"Vansa i Fórnols, la",2,60,22,3,48,26,5,108,48,
82975,Veciana,18,52,29,17,44,22,35,96,51,
431634,"Vendrell, el",3169,12234,3228,3021,12186,3768,6190,24420,6996,
172109,Ventalló,69,283,86,65,264,92,134,547,178,
252424,Verdú,54,290,97,58,267,153,112,557,250,
172116,Verges,93,357,122,104,332,163,197,689,285,
431649,Vespella de Gaià,33,143,56,30,111,37,63,254,93,
82981,Vic,4198,16223,2885,3827,14823,4258,8025,31046,7143,
172121,Vidrà,11,56,16,11,58,15,22,114,31,
172137,Vidreres,638,2752,658,575,2452,722,1213,5204,1380,
252430,Vielha e Mijaran,409,2110,318,366,1955,401,775,4065,719,
431652,Vilabella,43,249,86,44,214,100,87,463,186,
172142,Vilabertran,104,287,98,80,304,106,184,591,204,
172155,Vilablareix,277,946,215,261,973,225,538,1919,440,
82994,Vilada,16,137,64,11,114,74,27,251,138,
172174,Viladamat,32,155,54,36,139,52,68,294,106,
172168,Viladasens,20,71,16,8,61,24,28,132,40,
83015,Viladecans,5905,22243,4782,5503,22064,6114,11408,44307,10896,
83008,Viladecavalls,606,2609,509,604,2617,567,1210,5226,1076,
172180,Vilademuls,75,266,83,66,252,73,141,518,156,
172207,Viladrau,73,351,85,84,331,116,157,682,201,
172214,Vilafant,453,1750,433,412,1806,540,865,3556,973,
83054,Vilafranca del Penedès,3559,12800,2982,3336,13010,4059,6895,25810,7041,
252445,Vilagrassa,46,186,46,44,170,49,90,356,95,
172235,Vilajuïga,73,386,90,83,374,98,156,760,188,
431750,Vilalba dels Arcs,32,193,93,35,161,111,67,354,204,
83067,Vilalba Sasserra,61,248,48,60,231,68,121,479,116,
252458,Vilaller,38,198,58,30,161,76,68,359,134,
172240,Vilallonga de Ter,21,144,47,21,113,52,42,257,99,
431665,Vilallonga del Camp,264,793,149,234,774,175,498,1567,324,
172253,Vilamacolum,28,131,34,26,89,40,54,220,74,
172266,Vilamalla,100,384,102,106,377,112,206,761,214,
172272,Vilamaniscle,17,74,25,11,55,18,28,129,43,
252477,Vilamòs,9,80,11,11,63,13,20,143,24,
172288,Vilanant,29,134,34,35,123,37,64,257,71,
431671,Vilanova d'Escornalbou,42,182,64,45,160,52,87,342,116,
252483,Vilanova de Bellpuig,88,359,152,87,287,208,175,646,360,
252496,Vilanova de l'Aguda,7,59,31,6,61,33,13,120,64,
252542,Vilanova de la Barca,73,358,104,55,311,135,128,669,239,
252509,Vilanova de Meià,22,129,72,19,88,59,41,217,131,
431687,Vilanova de Prades,9,35,16,6,37,9,15,72,25,
83036,Vilanova de Sau,20,80,42,14,100,43,34,180,85,
252516,Vilanova de Segrià,77,349,92,64,293,102,141,642,194,
83020,Vilanova del Camí,1089,4233,905,1077,4001,1153,2166,8234,2058,
89024,Vilanova del Vallès,582,1866,312,528,1797,347,1110,3663,659,
83073,Vilanova i la Geltrú,5093,21877,5486,4852,22479,7299,9945,44356,12785,
431690,Vilaplana,30,209,63,31,181,60,61,390,123,
431704,Vila-rodona,104,445,111,96,368,131,200,813,242,
172305,Vila-sacra,68,249,55,83,233,72,151,482,127,
252521,Vila-sana,70,253,53,52,233,81,122,486,134,
431711,Vila-seca,2144,7597,1372,2077,7389,1608,4221,14986,2980,
82140,Vilassar de Dalt,704,2989,769,694,2968,919,1398,5957,1688,
82191,Vilassar de Mar,1756,6578,1734,1627,6897,2245,3383,13475,3979,
172229,Vilaür,21,44,16,15,49,12,36,93,28,
431726,Vilaverd,32,170,38,31,136,45,63,306,83,
431732,"Vilella Alta, la",8,47,18,11,33,18,19,80,36,
431747,"Vilella Baixa, la",18,69,26,9,54,26,27,123,52,
172333,Vilobí d'Onyar,297,1159,255,284,1008,288,581,2167,543,
83041,Vilobí del Penedès,101,361,107,90,329,119,191,690,226,
172327,Vilopriu,18,59,30,15,54,26,33,113,56,
252537,"Vilosell, el",4,52,32,4,46,31,8,98,63,
431763,Vimbodí i Poblet,55,308,125,36,230,138,91,538,263,
252555,Vinaixa,31,151,67,15,130,76,46,281,143,
431779,Vinebre,41,137,43,25,125,57,66,262,100,
431785,Vinyols i els Arcs,174,718,178,172,658,156,346,1376,334,
83089,Viver i Serrateix,10,54,23,13,42,26,23,96,49,
430521,Xerta,61,367,143,63,347,189,124,714,332,
,Catalunya,603175,2548305,618643,568941,2512042,824111,1172116,5060347,1442754,
